Navn 	Høyde 	P.F. 	Kommune
Jiehkkevárri 	1834 	1741 	Lyngen,Tromsø
Kveita 	1751 	350 	Lyngen
Njunis 	1717 	1302 	Målselv
Fugledalsfjellet 	1686 	535 	Tromsø
Kveita,nord 	1685 	70 	Tromsø
Njunis,sørvestre 	1681 	100 	Målselv
Kirkesfjellet 	1677 	1020 	Målselv
Holmbukttinden 	1666 	140 	Tromsø
Rohkunborri 	1659 	1161 	Bardu
Jiehkkevárri,sørlige 	1656 	130 	Tromsø
Rohkunborri,sørlige 	1649 	65 	Bardu
Njunis,sørøstre 	1637 	110 	Målselv
Máttagáisi,nordlige 	1635 	445 	Målselv
Kistefjell 	1633 	760 	Bardu,Målselv
Bálggesvárri 	1627 	410 	Lyngen,Tromsø
Lenangstindene 	1625 	1580 	Tromsø
Rostafjellet 	1590 	1030 	Balsfjord,Målselv
Vassdalsfjellet 	1587 	640 	Balsfjord,Storfjord
Kjeleelvtinden 	1569 	880 	Bardu
Fugledalsfjellet,nordlige 	1567 	165 	Tromsø
Rohkunborri,nordvestre 	1563 	70 	Bardu
Didnojiehkki 	1562 	1065 	Storfjord
Bálggesvárri,østre 	1553 	100 	Tromsø
Mannfjellet 	1552 	840 	Storfjord
Ruovdoaivvit 	1550 	200 	Bardu
Store-Jægervasstindane 	1543 	500 	Lyngen
Markusfjellet 	1541 	600 	Storfjord
Daltinden 	1533 	760 	Lyngen
Lille-Russetinden 	1527 	1263 	Balsfjord
Stuoragáisi 	1523 	715 	Bardu,Målselv
Juoksaváhnjunni 	1523 	620 	Målselv